exp_version,subject_num,trial_num,information,decision,mod2_linear,mod3_entropy,mod4_res_uncertainty
EXP1,624_TN,124,slots visible: 0,1,0,0,0
EXP1,624_TN,125,slots visible: 2,1,0.4,0.2282,0
EXP1,624_TN,126,slots visible: 2,1,0.4,0.2282,0
EXP1,624_TN,127,slots visible: 4,1,0.8,0.625,0.625
EXP1,624_TN,128,slots visible: 5,1,1,1,1
EXP1,624_TN,129,slots visible: 3,1,0.6,0.3915,0.25
EXP1,624_TN,130,slots visible: 0,1,0,0,0
EXP1,624_TN,131,slots visible: 3,1,0.6,0.3915,0.25
EXP1,624_TN,132,slots visible: 3,1,0.6,0.3915,0.25
EXP1,624_TN,133,slots visible: 3,1,0.6,0.3915,0.25
EXP1,624_TN,134,slots visible: 5,1,1,1,1
EXP1,624_TN,135,slots visible: 1,1,0.2,0.104,0
EXP1,624_TN,136,slots visible: 5,1,1,1,1
EXP1,624_TN,137,slots visible: 1,1,0.2,0.104,0
EXP1,624_TN,138,slots visible: 5,1,1,1,1
EXP1,624_TN,139,slots visible: 0,1,0,0,0
EXP1,624_TN,140,slots visible: 0,1,0,0,0
EXP1,624_TN,141,slots visible: 4,1,0.8,0.625,0.625
EXP1,624_TN,142,slots visible: 2,1,0.4,0.2282,0
EXP1,624_TN,143,slots visible: 0,1,0,0,0
EXP1,624_TN,144,slots visible: 1,1,0.2,0.104,0
EXP1,624_TN,145,slots visible: 0,0,0,0,0
EXP1,624_TN,146,slots visible: 5,1,1,1,1
EXP1,624_TN,147,slots visible: 0,1,0,0,0
EXP1,624_TN,148,slots visible: 3,1,0.6,0.3915,0.25
EXP1,624_TN,149,slots visible: 2,1,0.4,0.2282,0
EXP1,624_TN,150,slots visible: 4,1,0.8,0.625,0.625
EXP1,624_TN,151,slots visible: 4,1,0.8,0.625,0.625
EXP1,624_TN,152,slots visible: 3,1,0.6,0.3915,0.25
EXP1,624_TN,153,slots visible: 3,1,0.6,0.3915,0.25
EXP1,624_TN,154,slots visible: 3,1,0.6,0.3915,0.25
EXP1,624_TN,155,slots visible: 1,1,0.2,0.104,0
EXP1,624_TN,156,slots visible: 4,1,0.8,0.625,0.625
EXP1,624_TN,157,slots visible: 5,1,1,1,1
EXP1,624_TN,158,slots visible: 2,1,0.4,0.2282,0
EXP1,624_TN,159,slots visible: 5,1,1,1,1
EXP1,624_TN,160,slots visible: 5,1,1,1,1
EXP1,624_TN,161,slots visible: 5,1,1,1,1
EXP1,624_TN,162,slots visible: 2,1,0.4,0.2282,0
EXP1,624_TN,163,slots visible: 1,1,0.2,0.104,0
EXP1,624_TN,164,slots visible: 0,1,0,0,0
EXP1,624_TN,165,slots visible: 5,1,1,1,1
EXP1,624_TN,166,slots visible: 1,1,0.2,0.104,0
EXP1,624_TN,167,slots visible: 4,1,0.8,0.625,0.625
EXP1,624_TN,168,slots visible: 5,1,1,1,1
EXP1,624_TN,169,slots visible: 4,1,0.8,0.625,0.625
EXP1,624_TN,170,slots visible: 1,1,0.2,0.104,0
EXP1,624_TN,171,slots visible: 0,1,0,0,0
EXP1,624_TN,172,slots visible: 1,1,0.2,0.104,0
EXP1,624_TN,173,slots visible: 3,1,0.6,0.3915,0.25
EXP1,624_TN,174,slots visible: 1,1,0.2,0.104,0
EXP1,624_TN,175,slots visible: 2,1,0.4,0.2282,0
EXP1,624_TN,176,slots visible: 1,1,0.2,0.104,0
